iter	RMSE
0	20957.22603
1	18836.54907
2	17175.01481
3	15951.19839
4	15025.23535
5	14187.28314
6	13487.97356
7	12962.91484
8	12411.25297
9	12014.4016
10	11761.2257
11	11439.84717
12	11245.60946
13	11048.29068
14	10863.20775
15	10703.23856
16	10504.96742
17	10390.27072
18	10245.80863
19	10098.85749
20	10037.46404
21	9927.9938
22	9874.664987
23	9788.419969
24	9711.229452
25	9658.624364
26	9610.204359
27	9549.139568
28	9482.419963
29	9448.796398
30	9388.599337
31	9363.733314
32	9271.370365
33	9239.911108
34	9172.474845
35	9108.960552
36	9033.062484
37	8972.421307
38	8907.009866
39	8854.910701
40	8801.890878
41	8763.448238
42	8709.03544
43	8678.646926
44	8625.111601
45	8590.25209
46	8542.903176
47	8494.004139
48	8454.665087
49	8427.422291
50	8384.30376
51	8340.390149
52	8284.318407
53	8246.761492
54	8218.118132
55	8153.144307
56	8123.570915
57	8096.250319
58	8068.513848
59	8054.296913
60	8017.523626
61	7992.962004
62	7982.469165
63	7964.267665
64	7952.229505
65	7912.025366
66	7894.010034
67	7835.997039
68	7816.051113
69	7793.514216
70	7780.86567
71	7759.675603
72	7715.956194
73	7697.55931
74	7685.469928
75	7671.654836
76	7642.291454
77	7636.463066
78	7616.757908
79	7608.898768
80	7577.091698
81	7556.633369
82	7548.892909
83	7526.493398
84	7515.579964
85	7499.831466
86	7486.702816
87	7463.084561
88	7452.338952
89	7441.327921
90	7425.238381
91	7412.655638
92	7397.563969
93	7384.704528
94	7382.694279
95	7376.984765
96	7359.147959
97	7337.264669
98	7309.461751
99	7300.786029
100	7284.074548
101	7281.821825
102	7271.934557
103	7265.844564
104	7255.762267
105	7224.205619
106	7222.787842
107	7220.393198
108	7213.025536
109	7182.333146
110	7160.622415
111	7140.730539
112	7134.374742
113	7130.649527
114	7117.912738
115	7112.415133
116	7104.500891
117	7092.391229
118	7080.568164
119	7078.349908
120	7057.990738
121	7051.758382
122	7039.720029
123	7033.51305
124	7013.438006
125	7012.165448
126	6991.106441
127	6983.117209
128	6963.682626
129	6957.373879
130	6945.889763
131	6934.262054
132	6922.632972
133	6918.083803
134	6886.78123
135	6880.861311
136	6873.535566
137	6869.68225
138	6843.849532
139	6839.519784
140	6824.347497
141	6810.88608
142	6807.578217
143	6803.639492
144	6801.515821
145	6796.092839
146	6785.321607
147	6749.400093
148	6734.961561
149	6730.041208
150	6717.66145
151	6700.377549
152	6694.027857
153	6681.757126
154	6669.285041
155	6663.111114
156	6656.702715
157	6654.496137
158	6636.686087
159	6628.04669
160	6612.459967
161	6602.87907
162	6589.175386
163	6586.537061
164	6583.022205
165	6555.34225
166	6544.636159
167	6540.530885
168	6531.761574
169	6513.387164
170	6509.995855
171	6495.110191
172	6494.188095
173	6484.95064
174	6479.165659
175	6470.628288
176	6467.408126
177	6459.922512
178	6452.904392
179	6441.844747
180	6432.79815
181	6427.428781
182	6417.073149
183	6394.637927
184	6389.049453
185	6371.329106
186	6363.80707
187	6355.610321
188	6346.511809
189	6345.628936
190	6344.240657
191	6336.536359
192	6333.215807
193	6318.696714
194	6308.649323
195	6300.428891
196	6293.137063
197	6271.522327
198	6265.918225
199	6259.625326
