iter	Passed	Remaining
0	1	10069
1	2	6781
2	2	5640
3	3	5119
4	3	4775
5	4	4941
6	5	4898
7	6	4794
8	7	4832
9	7	4686
10	8	4583
11	8	4471
12	9	4490
13	10	4580
14	11	4491
15	13	4940
16	13	4879
17	14	4826
18	15	4750
19	16	4814
20	17	4930
21	18	5082
22	24	6300
23	25	6276
24	25	6210
25	26	6153
26	27	6152
27	28	6084
28	29	6059
29	31	6223
30	32	6309
31	54	10243
32	62	11323
33	63	11130
34	64	11052
35	65	10900
36	66	10739
37	67	10562
38	67	10383
39	69	10299
40	83	12144
41	84	11992
42	85	11823
43	87	11863
44	88	11754
45	89	11590
46	90	11501
47	91	11345
48	92	11192
49	92	11028
50	93	10872
51	93	10711
52	94	10557
53	94	10435
54	95	10289
55	95	10148
56	96	10051
57	96	9930
58	97	9806
59	97	9687
60	98	9574
61	99	9510
62	99	9407
63	100	9305
64	100	9208
65	101	9135
66	102	9038
67	102	8948
68	103	8869
69	103	8787
70	104	8706
71	104	8634
72	105	8544
73	105	8459
74	106	8377
75	106	8316
76	107	8244
77	107	8167
78	107	8091
79	108	8017
80	109	7995
81	109	7935
82	110	7877
83	110	7810
84	111	7743
85	111	7679
86	112	7616
87	112	7568
88	113	7507
89	113	7447
90	113	7388
91	114	7330
92	114	7278
93	114	7222
94	115	7167
95	115	7120
96	116	7069
97	116	7015
98	116	6971
99	117	6928
100	117	6884
101	118	6845
102	119	6817
103	119	6770
104	119	6724
105	120	6679
106	120	6640
107	120	6595
108	121	6559
109	121	6519
110	122	6477
111	122	6442
112	122	6403
113	123	6365
114	123	6327
115	124	6309
116	124	6272
117	125	6239
118	125	6205
119	125	6173
120	126	6138
121	126	6106
122	127	6073
123	127	6039
124	127	6005
125	128	5973
126	128	5941
127	128	5912
128	129	5889
129	129	5860
130	130	5842
131	130	5813
132	131	5789
133	131	5766
134	132	5738
135	132	5715
136	132	5690
137	133	5663
138	133	5635
139	134	5610
140	134	5584
141	134	5560
142	135	5541
143	135	5513
144	136	5492
145	136	5483
146	137	5466
147	137	5442
148	138	5421
149	138	5398
150	138	5378
151	139	5356
152	139	5333
153	139	5310
154	140	5287
155	140	5265
156	140	5245
157	141	5236
158	141	5215
159	142	5194
160	142	5173
161	143	5154
162	143	5134
163	143	5113
164	144	5103
165	144	5089
166	145	5072
167	145	5055
168	146	5038
169	146	5019
170	146	5003
171	147	4986
172	147	4968
173	147	4952
174	148	4937
175	148	4919
176	148	4899
177	149	4881
178	149	4864
179	149	4847
180	150	4830
181	150	4814
182	150	4797
183	151	4781
184	151	4768
185	152	4755
186	152	4742
187	152	4726
188	153	4712
189	153	4704
190	154	4688
191	154	4675
192	154	4660
193	155	4645
194	155	4631
195	155	4617
196	156	4603
197	156	4588
198	157	4577
199	157	4563
200	157	4550
201	158	4538
202	158	4526
203	159	4521
204	159	4510
205	160	4500
206	160	4487
207	160	4481
208	161	4472
209	161	4458
210	162	4450
211	162	4437
212	162	4424
213	163	4420
214	163	4411
215	164	4401
216	164	4389
217	165	4386
218	165	4377
219	166	4366
220	166	4355
221	166	4344
222	167	4333
223	167	4322
224	168	4312
225	168	4301
226	169	4299
227	169	4290
228	169	4279
229	170	4272
230	170	4261
231	171	4257
232	171	4249
233	172	4239
234	172	4235
235	173	4225
236	173	4215
237	173	4205
238	174	4196
239	174	4187
240	175	4181
241	175	4174
242	175	4164
243	176	4154
244	176	4146
245	176	4138
246	177	4129
247	177	4119
248	177	4110
249	178	4100
250	178	4092
251	178	4082
252	179	4073
253	179	4066
254	180	4058
255	180	4049
256	181	4048
257	181	4044
258	182	4035
259	182	4026
260	182	4018
261	183	4009
262	183	4004
