,genre,budget,runtime,year,month,revenue
235,Fantasy,97250400,116.0,2008,1,132900000
849,Crime,55000000,141.0,2008,1,113020255
1413,Drama,35000000,101.0,2008,1,32483410
1560,Comedy,30000000,111.0,2008,1,160259319
1606,Comedy,30000000,84.0,2008,1,84646831
1826,Action,25000000,85.0,2008,1,170764026
336,Adventure,90000000,95.0,2008,2,162839667
419,Adventure,85000000,88.0,2008,2,222231186
551,Romance,70000000,112.0,2008,2,111231041
847,Comedy,0,91.0,2008,2,33472850
1178,Drama,40000000,90.0,2008,2,151161491
1240,Drama,35000000,115.0,2008,2,0
1703,Comedy,28000000,99.0,2008,2,92380927
1746,Comedy,35000000,114.0,2008,2,43650785
1815,Action,25000000,93.0,2008,2,226830568
795,Comedy,58000000,114.0,2008,3,41299492
1228,Comedy,40000000,102.0,2008,3,0
1370,Drama,35000000,123.0,2008,3,69823199
1428,Action,35000000,85.0,2008,3,25871834
1491,Action,30000000,108.0,2008,3,22211426
1923,Drama,25000000,113.0,2008,3,11207130
68,Action,140000000,126.0,2008,4,585174222
836,Action,55000000,104.0,2008,4,127906624
1331,Adventure,37000000,96.0,2008,4,100076342
1572,Comedy,30000000,111.0,2008,4,105173115
1574,Comedy,30000000,99.0,2008,4,63833449
1903,Drama,8000000,91.0,2008,4,0
15,Adventure,225000000,150.0,2008,5,419651413
53,Adventure,185000000,122.0,2008,5,786636033
225,Action,120000000,135.0,2008,5,93945766
1207,Comedy,40000000,101.0,2008,5,84601681
1938,Drama,25000000,121.0,2008,5,19844979
57,Animation,180000000,98.0,2008,6,521311860
174,Science Fiction,150000000,114.0,2008,6,163712074
181,Adventure,130000000,90.0,2008,6,631744560
361,Comedy,90000000,113.0,2008,6,201596308
437,Action,80000000,110.0,2008,6,230685453
512,Action,75000000,110.0,2008,6,258270008
682,Comedy,62000000,87.0,2008,6,41819064
723,Thriller,60000000,91.0,2008,6,163403799
65,Drama,185000000,152.0,2008,7,1004558444
71,Adventure,145000000,112.0,2008,7,401128639
115,Fantasy,150000000,92.0,2008,7,624029371
420,Adventure,85000000,120.0,2008,7,160388063
639,Comedy,65000000,98.0,2008,7,128107642
778,Comedy,60000000,90.0,2008,7,50650079
886,Comedy,52000000,108.0,2008,7,609841637
1044,Action,45000000,93.0,2008,7,101702060
1298,Adventure,80341000,150.0,2008,7,127814609
1354,Animation,37000000,81.0,2008,7,63800345
1422,Drama,30000000,104.0,2008,7,68369434
1471,Animation,41677699,100.0,2008,7,187479518
353,Action,92000000,107.0,2008,8,188072649
658,Action,45000000,105.0,2008,8,73762516
1083,Action,70000000,101.0,2008,8,72108608
1096,Action,45000000,99.0,2008,8,42487390
1410,Horror,35000000,110.0,2008,8,72436439
1754,Adventure,27000000,117.0,2008,8,44352417
1783,Action,27000000,111.0,2008,8,101624843
1861,Romance,25000000,97.0,2008,8,70442940
447,na,80000000,118.0,2008,9,178066569
761,Action,60000000,101.0,2008,9,73174566
1094,Drama,45000000,160.0,2008,9,9323833
1330,Comedy,37000000,96.0,2008,9,163720069
1644,Thriller,30000000,130.0,2008,9,31148328
1763,Drama,0,110.0,2008,9,0
1970,Comedy,24000000,102.0,2008,9,42105111
11,Adventure,200000000,106.0,2008,10,586090727
120,na,150000000,89.0,2008,10,603900354
622,Action,70000000,128.0,2008,10,113280098
1322,Adventure,55000000,90.0,2008,10,17869048
1325,Drama,40000000,130.0,2008,10,9793496
1398,Action,35000000,100.0,2008,10,85416905
1687,Drama,0,122.0,2008,10,0
1739,Comedy,27000000,110.0,2008,10,17286299
1774,Comedy,25000000,104.0,2008,10,6673422
1814,Drama,25100000,131.0,2008,10,29506464
100,Fantasy,150000000,166.0,2008,11,333932083
130,Animation,150000000,98.0,2008,11,309979994
192,Drama,130000000,165.0,2008,11,49554002
440,Comedy,80000000,88.0,2008,11,163733697
1268,Comedy,0,103.0,2008,11,0
1337,Adventure,37000000,122.0,2008,11,392616625
360,Drama,75000000,121.0,2008,12,200276000
443,Fantasy,80000000,99.0,2008,12,212874442
454,Drama,80000000,104.0,2008,12,233093859
689,Comedy,60000000,115.0,2008,12,244082376
734,Adventure,60000000,93.0,2008,12,50877145
781,Adventure,60000000,106.0,2008,12,57490374
782,Action,60000000,103.0,2008,12,39031337
865,Drama,55000000,123.0,2008,12,168167691
913,Comedy,70000000,104.0,2008,12,225990978
1081,Drama,35000000,119.0,2008,12,75225693
1277,Adventure,40000000,94.0,2008,12,0
1341,Action,36500000,115.0,2008,12,21834845
1450,Action,20500000,102.0,2008,12,10089373
1492,Drama,32000000,124.0,2008,12,113019290
1813,Drama,33000000,116.0,2008,12,269958228
522,Comedy,35000000,100.0,2009,1,73034460
1390,Fantasy,35000000,92.0,2009,1,91353501
1576,Comedy,30000000,89.0,2009,1,114663461
1777,Action,26000000,91.0,2009,1,183293131
1796,Drama,26000000,104.0,2009,1,43318349
722,Animation,60000000,100.0,2009,2,124596398
975,Drama,50000000,118.0,2009,2,60161391
1001,Action,50000000,97.0,2009,2,12764201
1162,Comedy,40000000,129.0,2009,2,177259441
67,Animation,175000000,94.0,2009,3,381509870
163,Action,130000000,163.0,2009,3,185258983
751,Romance,78146652,125.0,2009,3,60000000
898,Adventure,50000000,130.0,2009,3,709827462
922,Action,50000000,121.0,2009,3,155446362
931,Adventure,50000000,98.0,2009,3,106303988
1179,Comedy,41000000,105.0,2009,3,91636986
1184,Comedy,20000000,102.0,2009,3,136267476
1444,Drama,35000000,105.0,2009,3,27409889
1598,Horror,30000000,99.0,2009,3,90810892
122,Adventure,150000000,107.0,2009,4,373062864
750,Action,60000000,127.0,2009,4,87784194
763,Drama,60000000,109.0,2009,4,31720158
1004,Drama,50000000,116.0,2009,4,36348784
1561,Comedy,35000000,102.0,2009,4,155545279
1652,Action,100000000,85.0,2009,4,0
1950,na,0,82.0,2009,4,0
43,Action,200000000,115.0,2009,5,371353001
66,Animation,175000000,96.0,2009,5,735099082
121,Adventure,150000000,105.0,2009,5,413106170
128,Thriller,150000000,138.0,2009,5,356613439
158,Science Fiction,150000000,127.0,2009,5,385680446
617,Adventure,70000000,127.0,2009,5,39041505
1464,Drama,0,100.0,2009,5,0
1880,Action,0,83.0,2009,5,0
35,Science Fiction,150000000,150.0,2009,6,836297228
283,Thriller,100000000,106.0,2009,6,150166126
306,Adventure,100000000,102.0,2009,6,68688831
348,Animation,90000000,94.0,2009,6,886686817
748,Comedy,60000000,97.0,2009,6,62357900
857,Comedy,55000000,107.0,2009,6,0
1150,Comedy,40000000,108.0,2009,6,317375031
1356,Comedy,35000000,100.0,2009,6,459270619
1745,Drama,30000000,109.0,2009,6,95714875
8,Adventure,250000000,153.0,2009,7,933959197
131,Fantasy,150000000,88.0,2009,7,292817841
280,na,80000000,140.0,2009,7,214104620
552,Comedy,75000000,146.0,2009,7,61458982
1086,Adventure,45000000,86.0,2009,7,57881056
1130,Comedy,42000000,83.0,2009,7,0
1300,Comedy,38000000,96.0,2009,7,205298907
76,Adventure,175000000,118.0,2009,8,302469017
571,Drama,70000000,153.0,2009,8,319131050
1168,Romance,40000000,123.0,2009,8,129540499
1186,Horror,40000000,82.0,2009,8,186167139
1291,Drama,39000000,107.0,2009,8,101229792
1554,Science Fiction,30000000,112.0,2009,8,210819611
1617,Action,30000000,79.0,2009,8,48428063
1766,Horror,27000000,109.0,2009,8,29000000
347,Animation,100000000,90.0,2009,9,242988466
476,Action,80000000,89.0,2009,9,122444772
542,Action,0,84.0,2009,9,5802422
705,Comedy,70000000,113.0,2009,9,171844840
963,Action,40000000,99.0,2009,9,60462347
994,Action,50000000,95.0,2009,9,40828540
1271,Action,33000000,108.0,2009,9,20645327
1445,Action,40000000,101.0,2009,9,12206028
1565,Drama,25000000,109.0,2009,9,163670000
1673,Comedy,0,91.0,2009,9,0
1705,na,0,120.0,2009,9,0
1902,Thriller,30000000,115.0,2009,9,33333531
1946,Drama,25000000,122.0,2009,9,10589102
59,Action,200000000,158.0,2009,10,769653595
293,na,100000000,101.0,2009,10,100086793
489,na,0,84.0,2009,10,19406406
674,Animation,65000000,94.0,2009,10,44091067
719,na,60000000,111.0,2009,10,0
879,Drama,53000000,109.0,2009,10,126690726
1140,Action,33000000,100.0,2009,10,14000000
1257,Adventure,40000000,87.0,2009,10,46471023
1266,Adventure,40000000,109.0,2009,10,28169671
1642,Horror,26000000,104.0,2009,10,0
1658,Adventure,30000000,123.0,2009,10,64352607
1972,Comedy,24000000,93.0,2009,10,68729358
1988,Comedy,23600000,88.0,2009,10,102391382
60,Animation,200000000,96.0,2009,11,325233863
754,Science Fiction,70000000,91.0,2009,11,104945765
1316,Drama,10000000,110.0,2009,11,47536959
1362,Drama,29000000,129.0,2009,11,309208309
1389,Comedy,35000000,88.0,2009,11,92219310
1931,Adventure,32000000,111.0,2009,11,27635305
1944,Comedy,25000000,114.0,2009,11,2336172
0,Action,237000000,162.0,2009,12,2787965087
269,Romance,105000000,97.0,2009,12,267045765
327,Fantasy,65000000,136.0,2009,12,93525586
356,Action,90000000,128.0,2009,12,524028679
397,Comedy,85000000,121.0,2009,12,219103655
482,Drama,80000000,112.0,2009,12,53825515
578,Comedy,75000000,88.0,2009,12,443140005
749,Drama,60000000,134.0,2009,12,122233971
797,Comedy,58000000,103.0,2009,12,85280250
449,Action,80000000,118.0,2010,1,157107755
758,Crime,80000000,117.0,2010,1,74901339
1232,Comedy,40000000,102.0,2010,1,58785180
1544,Drama,31000000,105.0,2010,1,15134293
1733,Action,28000000,94.0,2010,1,45236543
1791,Horror,26000000,100.0,2010,1,67918658
135,Drama,150000000,102.0,2010,2,0
341,Adventure,95000000,118.0,2010,2,226497209
439,Drama,80000000,138.0,2010,2,294804195
887,Comedy,52000000,125.0,2010,2,216485654
893,Action,52000000,92.0,2010,2,52826594
1092,Thriller,45000000,128.0,2010,2,60222298
1334,Action,30000000,107.0,2010,2,55583804
1891,Drama,25000000,115.0,2010,2,114977104
32,na,200000000,108.0,2010,3,1025491110
92,Fantasy,165000000,98.0,2010,3,494878759
312,na,100000000,115.0,2010,3,94882889
1104,Action,40000000,110.0,2010,3,136000000
1344,Science Fiction,36000000,101.0,2010,3,64572262
1420,Comedy,35000000,109.0,2010,3,93246388
1517,Action,32000000,111.0,2010,3,18409891
1720,Action,28000000,117.0,2010,3,96188903
1951,na,25000000,85.0,2010,3,6500000
79,Adventure,200000000,124.0,2010,4,623933331
206,Adventure,125000000,106.0,2010,4,232713139
819,Comedy,55000000,97.0,2010,4,152263880
1400,Comedy,35000000,106.0,2010,4,77477008
1436,Comedy,35000000,92.0,2010,4,39340177
1892,Action,25000000,97.0,2010,4,23580000
21,Action,200000000,140.0,2010,5,310669540
50,Adventure,150000000,116.0,2010,5,335154643
86,Comedy,165000000,93.0,2010,5,752600867
323,Comedy,100000000,146.0,2010,5,288347692
991,Drama,22000000,108.0,2010,5,24188922
1117,Drama,44000000,99.0,2010,5,48190704
1591,Comedy,30000000,105.0,2010,5,0
42,Animation,200000000,103.0,2010,6,1066969703
138,Action,150000000,103.0,2010,6,318502923
227,Action,117000000,109.0,2010,6,261930431
520,Comedy,80000000,102.0,2010,6,271430189
530,Action,75000000,100.0,2010,6,98159963
612,Adventure,68000000,124.0,2010,6,698491347
966,na,50000000,87.0,2010,6,83761844
1035,Action,47000000,80.0,2010,6,10539000
1189,Comedy,40000000,109.0,2010,6,90029656
1949,Drama,0,117.0,2010,6,0
96,Action,160000000,148.0,2010,7,825532764
103,Fantasy,150000000,109.0,2010,7,215283742
188,Action,110000000,100.0,2010,7,293329073
302,Animation,80000000,97.0,2010,7,140073390
411,Action,60000000,112.0,2010,7,47664559
418,Comedy,85000000,82.0,2010,7,112483764
614,Animation,69000000,95.0,2010,7,543513985
623,Comedy,69000000,114.0,2010,7,86387857
1201,Action,40000000,107.0,2010,7,126248813
109,Adventure,155000000,113.0,2010,8,415686217
285,Action,100000000,107.0,2010,8,170432927
424,Thriller,80000000,103.0,2010,8,274470394
709,Drama,60000000,133.0,2010,8,204594016
1381,Drama,35000000,123.0,2010,8,60251371
1503,Action,32000000,107.0,2010,8,69055695
1601,Drama,30000000,107.0,2010,8,159291809
1947,Animation,0,88.0,2010,8,0
1981,Comedy,24000000,88.0,2010,8,83188165
588,Drama,70000000,133.0,2010,9,134748021
799,Action,60000000,97.0,2010,9,300228084
1161,Drama,40000000,120.0,2010,9,224920315
1328,Crime,37000000,125.0,2010,9,154026136
1526,Comedy,32000000,102.0,2010,9,42045846
1915,Crime,25000000,122.0,2010,9,15478800
196,Animation,130000000,95.0,2010,10,321887208
711,Action,58000000,111.0,2010,10,71664962
967,Drama,50000000,129.0,2010,10,105197635
1462,Drama,0,148.0,2010,10,25147786
1659,Comedy,30000000,134.0,2010,10,8454301
1676,Animation,0,93.0,2010,10,0
1905,Drama,25000000,107.0,2010,10,19829957
1948,Comedy,25000000,154.0,2010,10,48531470
6,Animation,260000000,100.0,2010,11,591794936
344,Action,100000000,98.0,2010,11,167805466
381,Fantasy,90000000,110.0,2010,11,16178959
641,Comedy,65000000,95.0,2010,11,211780824
860,Drama,55000000,119.0,2010,11,89519773
1632,Romance,30000000,133.0,2010,11,51148651
